"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
High human development,,,,,
1 Norway,1995 c,4.1,9.7 35.8 21.8,5.3,3.7 25.8
2 Iceland,..,..,.. .. ..,..,.. ..
3 Sweden,1995 c,3.4,9.1 34.5 20.1,5.9,3.8 25.0
4 Australia,1994 c,2.0,5.9 41.3 25.4,12.5,7.0 35.2
5 Netherlands,1994 c,2.8,7.3 40.1 25.1,9.0,5.5 32.6
6 Belgium,1996 c,2.9,8.3 37.3 22.6,7.8,4.5 25.0
7 United States,1997 c,1.8,5.2 46.4 30.5,16.6,9.0 40.8
8 Canada,1997 c,2.7,7.3 39.3 23.9,9.0,5.4 31.5
9 Japan,1993 c,4.8,10.6 35.7 21.7,4.5,3.4 24.9
10 Switzerland,1992 c,2.6,6.9 40.3 25.2,9.9,5.8 33.1
11 Denmark,1997 c,2.6,8.3 35.8 21.3,8.1,4.3 24.7
12 Ireland,1987 c,2.5,6.7 42.9 27.4,11.0,6.4 35.9
13 United Kingdom,1995 c,2.1,6.1 43.2 27.5,13.4,7.1 36.0
14 Finland,1995 c,4.1,10.1 35.0 20.9,5.1,3.5 25.6
15 Luxembourg,1998 c,3.2,8.0 39.7 24.7,7.7,4.9 30.8
16 Austria,1995 c,2.3,7.0 37.9 22.4,9.8,5.5 30.5
17 France,1995 c,2.8,7.2 40.2 25.1,9.1,5.6 32.7
18 Germany,1998 c,2.0,5.7 44.7 28.0,14.2,7.9 38.2
19 Spain,1990 c,2.8,7.5 40.3 25.2,9.0,5.4 32.5
20 New Zealand,1997 c,2.2,6.4 43.8 27.8,12.5,6.8 36.2
21 Italy,1998 c,1.9,6.0 42.6 27.4,14.5,7.1 36.0
22 Israel,1997 c,2.4,6.9 44.3 28.2,11.7,6.4 35.5
23 Portugal,1997 c,2.0,5.8 45.9 29.8,15.0,8.0 38.5
24 Greece,1998 c,2.9,7.1 43.6 28.5,10.0,6.2 35.4
25 Cyprus,..,..,.. .. ..,..,.. ..
"26 Hong Kong, China (SAR)",1996 c,2.0,5.3 50.7 34.9,17.8,9.7 43.4
27 Barbados,..,..,.. .. ..,..,.. ..
28 Singapore,1998 c,1.9,5.0 49.0 32.8,17.7,9.7 42.5
29 Slovenia,1998 c,3.9,9.1 37.7 23.0,5.8,4.1 28.4
"30 Korea, Rep. of",1998 c,2.9,7.9 37.5 22.5,7.8,4.7 31.6
31 Brunei Darussalam,..,..,.. .. ..,..,.. ..
32 Czech Republic,1996 c,4.3,10.3 35.9 22.4,5.2,3.5 25.4
33 Malta,..,..,.. .. ..,..,.. ..
34 Argentina,..,..,.. .. ..,..,.. ..
35 Poland,1998 d,3.2,7.8 39.7 24.7,7.8,5.1 31.6
36 Seychelles,..,..,.. .. ..,..,.. ..
37 Bahrain,..,..,.. .. ..,..,.. ..
38 Hungary,1998 d,4.1,10.0 34.4 20.5,5.0,3.5 24.4
39 Slovakia,1996 c,3.1,8.8 34.8 20.9,6.7,4.0 25.8
40 Uruguay e,1998 c,1.6,4.5 50.4 33.8,21.6,11.2 44.8
41 Estonia,1998 c,3.0,7.0 45.1 29.8,10.0,6.5 37.6
42 Costa Rica f,1997 c,1.7,4.5 51.0 34.6,20.7,11.5 45.9
43 Chile,1998 c,1.1,3.2 61.3 45.4,43.2,19.3 57.5
44 Qatar,..,..,.. .. ..,..,.. ..
45 Lithuania,2000 d,3.2,7.9 40.0 24.9,7.9,5.1 36.3
46 Kuwait,..,..,.. .. ..,..,.. ..
47 Croatia,2001 d,3.4,8.3 39.6 24.5,7.3,4.8 29.0
48 United Arab Emirates,..,..,.. .. ..,..,.. ..
49 Bahamas,..,..,.. .. ..,..,.. ..
50 Latvia,1998 c,2.9,7.6 40.3 25.9,8.9,5.3 32.4
"",,,,,Inequality measures
"",,,,Richest,Richest
"",,,Share of income or consumption,10% to,20% to
"",Survey,,(%),poorest,poorest
HDI rank,year,Poorest 10%,Poorest 20% Richest 20% Richest 10%,10% a,20% a Gini index b
51 Saint Kitts and Nevis,..,..,.. .. ..,..,.. ..
52 Cuba,..,..,.. .. ..,..,.. ..
53 Belarus,2000 d,3.5,8.4 39.1 24.1,6.9,4.6 30.4
54 Trinidad and Tobago,1992 c,2.1,5.5 45.9 29.9,14.4,8.3 40.3
55 Mexico,1998 c,1.2,3.4 57.6 41.6,34.6,17.0 51.9
Medium human development,,,,,
56 Antigua and Barbuda,..,..,.. .. ..,..,.. ..
57 Bulgaria,2001 c,2.4,6.7 38.9 23.7,9.9,5.8 31.9
58 Malaysia,1997 c,1.7,4.4 54.3 38.4,22.1,12.4 49.2
59 Panama,1997 d,1.2,3.6 52.8 35.7,29.8,14.7 48.5
"60 Macedonia, TFYR",1998 d,3.3,8.4 36.7 22.1,6.8,4.4 28.2
61 Libyan Arab Jamahiriya,..,..,.. .. ..,..,.. ..
62 Mauritius,..,..,.. .. ..,..,.. ..
63 Russian Federation,2000 d,1.8,4.9 51.3 36.0,20.3,10.5 45.6
64 Colombia f,1996 c,1.1,3.0 60.9 46.1,42.7,20.3 57.1
65 Brazil f,1998 c,0.7,2.2 64.1 48.0,65.8,29.7 60.7
66 Bosnia and Herzegovina,..,..,.. .. ..,..,.. ..
67 Belize,..,..,.. .. ..,..,.. ..
68 Dominica,..,..,.. .. ..,..,.. ..
